Sex,Age,n,prevalence,TPR,selection_rate
0.0,1.0,546,0.004,0.0,0.0
0.0,2.0,820,0.009,0.0,0.001
0.0,3.0,1195,0.008,0.4,0.01
0.0,4.0,1569,0.018,0.172,0.021
0.0,5.0,1843,0.021,0.316,0.039
0.0,6.0,2196,0.035,0.429,0.066
0.0,7.0,2948,0.047,0.514,0.112
0.0,8.0,3557,0.057,0.65,0.149
0.0,9.0,3589,0.069,0.673,0.199
0.0,10.0,3485,0.088,0.722,0.274
0.0,11.0,2572,0.117,0.752,0.386
0.0,12.0,1899,0.145,0.778,0.483
0.0,13.0,2081,0.199,0.807,0.611
1.0,1.0,577,0.009,0.2,0.003
1.0,2.0,747,0.008,0.0,0.0
1.0,3.0,1033,0.013,0.154,0.008
1.0,4.0,1242,0.008,0.0,0.021
1.0,5.0,1371,0.018,0.32,0.046
1.0,6.0,1828,0.043,0.487,0.095
1.0,7.0,2290,0.072,0.596,0.172
1.0,8.0,2705,0.092,0.716,0.278
1.0,9.0,3017,0.136,0.786,0.416
1.0,10.0,2914,0.188,0.83,0.577
1.0,11.0,2078,0.22,0.921,0.725
1.0,12.0,1257,0.265,0.955,0.84
1.0,13.0,1377,0.309,0.972,0.921
